command	arch	debian	macos	windows	required	platforms	description
just	just	just	just	Casey.Just	required	arch,debian,macos,windows	Command runner used by every recipe
bash	bash	bash	bash	-	required	arch,debian,macos	POSIX shell that runs the Unix recipes
git	git	git	git	Git.Git	required	arch,debian,macos,windows	Version control
tar	tar	tar	gnu-tar	-	optional	arch,debian,macos	Archive packaging for backups and dist
zip	zip	zip	zip	-	optional	arch,debian,macos	Zip packaging for backups and dist
python	python	python3	python	Python.Python.3	optional	arch,debian,macos,windows	Static server for the docs dashboard
powershell.exe|pwsh	-	-	-	Microsoft.PowerShell	required	windows	Shell that runs the Windows recipes
